date, value
7/21/1997,12.05
7/22/1997,12.05
7/23/1997,12.1
7/24/1997,12.1
7/25/1997,12.1
7/28/1997,11.97
7/29/1997,11.96
7/30/1997,11.97
7/31/1997,11.97
8/1/1997,11.95
8/4/1997,11.95
8/5/1997,11.95
8/6/1997,12
8/7/1997,12.05
8/8/1997,12.06
8/11/1997,12
8/12/1997,12
8/13/1997,12
8/14/1997,12
8/15/1997,12
8/18/1997,12
8/19/1997,11.98
8/20/1997,11.9
8/21/1997,11.84
8/22/1997,11.85
8/25/1997,11.84
8/26/1997,11.75
8/27/1997,11.7
8/28/1997,11.7
8/29/1997,11.73
9/2/1997,11.73
9/3/1997,11.75
9/4/1997,11.75
9/5/1997,11.75
9/8/1997,11.75
9/9/1997,11.75
9/10/1997,11.75
9/11/1997,11.75
9/12/1997,11.74
9/15/1997,11.75
9/16/1997,11.75
9/17/1997,11.74
9/18/1997,11.73
9/19/1997,11.77
9/22/1997,11.77
9/23/1997,11.82
9/24/1997,11.82
9/25/1997,11.83
9/26/1997,11.83
9/29/1997,11.85
9/30/1997,11.85
10/1/1997,11.85
10/2/1997,11.81
10/3/1997,11.82
10/6/1997,11.87
10/7/1997,11.92
10/8/1997,11.89
10/9/1997,11.96
10/10/1997,11.96
10/13/1997,11.96
10/14/1997,11.96
10/15/1997,11.96
10/16/1997,12.06
10/17/1997,12.16
10/20/1997,12.16
10/21/1997,12.18
10/22/1997,12.18
10/23/1997,12.18
10/24/1997,12.2
10/27/1997,12.2
10/28/1997,12.23
10/29/1997,12.23
10/30/1997,12.25
10/31/1997,12.27
11/3/1997,12.25
11/4/1997,12.2
11/5/1997,12.18
11/6/1997,12.18
11/7/1997,12.19
11/10/1997,12.2
11/11/1997,12.2
11/12/1997,12.2
11/13/1997,12.25
11/14/1997,12.27
11/17/1997,12.28
11/18/1997,12.28
11/19/1997,12.39
11/20/1997,12.44
11/21/1997,12.55
11/24/1997,12.508
11/25/1997,12.404
11/26/1997,12.274
11/28/1997,12.234
12/1/1997,12.1
12/2/1997,12.1
12/3/1997,12.1
12/4/1997,12.11
12/5/1997,12.19
12/8/1997,12.26
12/9/1997,12.45
12/10/1997,12.44
12/11/1997,12.45
12/12/1997,12.63
12/15/1997,12.66
12/16/1997,12.62
12/17/1997,12.65
12/18/1997,12.63
12/19/1997,12.65
12/22/1997,12.66
12/23/1997,12.62
12/24/1997,12.61
12/26/1997,12.516
12/29/1997,12.388
12/30/1997,12.232
12/31/1997,12.132
1/2/1998,12.2
1/5/1998,12.2
1/6/1998,12.2
1/7/1998,12.19
1/8/1998,12.4
1/9/1998,12.65
1/12/1998,12.68
1/13/1998,12.71
1/14/1998,12.71
1/15/1998,12.7
1/16/1998,12.75
1/20/1998,12.81
1/21/1998,12.84
1/22/1998,12.8
1/23/1998,12.82
1/26/1998,12.82
1/27/1998,12.798
1/28/1998,12.734
1/29/1998,12.766
1/30/1998,12.76
2/2/1998,12.65
2/3/1998,12.65
2/4/1998,12.72
2/5/1998,12.82
2/6/1998,12.8
2/9/1998,12.8
2/10/1998,12.87
2/11/1998,12.96
2/12/1998,12.94
2/13/1998,12.93
2/17/1998,12.89
2/18/1998,12.82
2/19/1998,12.75
2/20/1998,12.92
2/23/1998,12.94
2/24/1998,12.736
2/25/1998,12.658
2/26/1998,12.524
2/27/1998,12.036
3/2/1998,11.89
3/3/1998,11.88
3/4/1998,11.85
3/5/1998,11.85
3/6/1998,12.05
3/9/1998,12.03
3/10/1998,11.96
3/11/1998,11.9
3/12/1998,12.1
3/13/1998,12.11
3/16/1998,12.14
3/17/1998,12.22
3/18/1998,12.17
3/19/1998,12.18
3/20/1998,12.2
3/23/1998,12.2
3/24/1998,12.11
3/25/1998,12.1
3/26/1998,12.004
3/27/1998,11.848
3/30/1998,11.848
3/31/1998,11.794
4/1/1998,11.7
4/2/1998,11.6
4/3/1998,11.84
4/6/1998,11.88
4/7/1998,11.9
4/8/1998,11.89
4/9/1998,11.79
4/13/1998,11.7
4/14/1998,11.7
4/15/1998,11.75
4/16/1998,11.68
4/17/1998,11.55
4/20/1998,11.49
4/21/1998,11.48
4/22/1998,11.46
4/23/1998,11.35
4/24/1998,11
4/27/1998,10.93
4/28/1998,10.928
4/29/1998,10.878
4/30/1998,10.86
5/1/1998,10.81
5/4/1998,10.83
5/5/1998,10.81
5/6/1998,10.82
5/7/1998,10.84
5/8/1998,11.01
5/11/1998,11.35
5/12/1998,11.4
5/13/1998,11.42
5/14/1998,11.63
5/15/1998,11.52
5/18/1998,11.5
5/19/1998,11.7
5/20/1998,11.77
5/21/1998,11.77
5/22/1998,11.81
